,district_name,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,county,year
171,BRIGGSDALE RE-10,1085212,889087,0,430233,2404531, 7464 , 6115 , 0 , 2959 , 16537 ,WELD,2010
172,PRAIRIE RE-11,1219619,979228,0,0,2198847, 7365 , 5913 , 0 , 0 , 13278 ,WELD,2010
173,PAWNEE RE-12,1041659,740004,0,61474,1843137, 10673 , 7582 , 0 , 630 , 18885 ,WELD,2010
174,YUMA 1,4431710,3277849,0,1358007,9067566, 5596 , 4139 , 0 , 1715 , 11450 ,YUMA,2010
175,WRAY RD-2,3532489,2746335,0,800124,7078947, 5378 , 4181 , 0 , 1218 , 10776 ,YUMA,2010
176,IDALIA RJ-3,1154510,810850,0,25002,1990362, 8539 , 5997 , 0 , 185 , 14722 ,YUMA,2010
177,LIBERTY J-4,926415,647462,0,25386,1599262, 11068 , 7736 , 0 , 303 , 19107 ,YUMA,2010
178,CHARTER SCHOOL INSTITUTE,31582803,24642295,49762,14599500,70874360, 4156 , 3243 , 7 , 1921 , 9326 ,,2010
0,MAPLETON 1,38157232,24772389,1133114,47915629,111978365, 5211 , 3383 , 155 , 6544 , 15293 ,ADAMS,2011
1,ADAMS 12 FIVE STAR,222647754,122690063,1234485,204125589,550697892, 5417 , 2985 , 30 , 4966 , 13397 ,ADAMS,2011
2,ADAMS COUNTY 14,35356243,37275630,795722,7400225,80827821, 5233 , 5517 , 118 , 1095 , 11963 ,ADAMS,2011
3,BRIGHTON 27J,62834937,49692282,261089,61259467,174047775, 4239 , 3353 , 18 , 4133 , 11743 ,ADAMS,2011
4,BENNETT 29J,4471446,3839480,0,8277945,16588870, 4268 , 3665 , 0 , 7902 , 15835 ,ADAMS,2011
5,STRASBURG 31J,4441915,3371557,0,6942257,14755729, 4663 , 3540 , 0 , 7288 , 15492 ,ADAMS,2011
6,WESTMINSTER 50,50976836,42731800,485730,10856522,105050888, 5342 , 4478 , 51 , 1138 , 11008 ,ADAMS,2011
7,ALAMOSA RE-11J,9854985,6906565,0,2891497,19653047, 4698 , 3293 , 0 , 1378 , 9369 ,ALAMOSA,2011
8,SANGRE DE CRISTO RE-22J,1729715,1699152,0,1014642,4443509, 5816 , 5713 , 0 , 3412 , 14941 ,ALAMOSA,2011
9,ENGLEWOOD 1,17653095,12953157,177585,6414260,37198098, 6022 , 4419 , 61 , 2188 , 12690 ,ARAPAHOE,2011
10,SHERIDAN 2,10549826,10061700,52498,4567087,25231110, 7083 , 6755 , 35 , 3066 , 16939 ,ARAPAHOE,2011
11,CHERRY CREEK 5,323780400,150242974,1116022,136020063,611159459, 6503 , 3018 , 22 , 2732 , 12275 ,ARAPAHOE,2011
12,LITTLETON 6,84782588,52823735,4783,17185358,154796463, 5679 , 3539 , 0 , 1151 , 10370 ,ARAPAHOE,2011
13,DEER TRAIL 26J,1370559,1039739,23320,30733,2464351, 8724 , 6618 , 148 , 196 , 15687 ,ARAPAHOE,2011
14,ADAMS-ARAPAHOE 28J,194041294,142067306,1350276,262051593,599510470, 5309 , 3887 , 37 , 7169 , 16402 ,ARAPAHOE,2011
15,BYERS 32J,2403715,1961002,48645,1085737,5499099, 5299 , 4323 , 107 , 2394 , 12123 ,ARAPAHOE,2011
16,ARCHULETA COUNTY 50 JT,7239297,6966180,0,940545,15146022, 4884 , 4700 , 0 , 635 , 10218 ,ARCHULETA,2011
17,WALSH RE-1,1183935,953754,0,18146,2155835, 8054 , 6488 , 0 , 123 , 14666 ,BACA,2011
18,PRITCHETT RE-3,694331,609447,0,0,1303777, 10332 , 9069 , 0 , 0 , 19401 ,BACA,2011
19,SPRINGFIELD RE-4,1652702,1138387,0,26331,2817420, 6121 , 4216 , 0 , 98 , 10435 ,BACA,2011
20,VILAS RE-5,1235157,901414,0,291,2136862, 4237 , 3092 , 0 , 1 , 7331 ,BACA,2011
21,CAMPO RE-6,537284,527999,18804,0,1084087, 11033 , 10842 , 386 , 0 , 22261 ,BACA,2011
22,LAS ANIMAS RE-1,2708401,2127892,0,483894,5320186, 5124 , 4026 , 0 , 915 , 10065 ,BENT,2011
23,MCCLAVE RE-2,1473523,1255272,1364,143959,2874118, 5431 , 4627 , 5 , 531 , 10594 ,BENT,2011
24,ST VRAIN VALLEY RE 1J,131469112,96330428,769071,109303868,337872480, 5033 , 3688 , 29 , 4185 , 12935 ,BOULDER,2011
25,BOULDER VALLEY RE 2,180641258,114267073,4798932,79475218,379182480, 6379 , 4035 , 169 , 2807 , 13390 ,BOULDER,2011
26,BUENA VISTA R-31,5374699,3789206,0,638703,9802607, 5724 , 4035 , 0 , 680 , 10439 ,CHAFFEE,2011
27,SALIDA R-32,6579209,4652874,0,24540583,35772665, 6156 , 4353 , 0 , 22961 , 33470 ,CHAFFEE,2011
28,KIT CARSON R-1,1117972,876569,0,91831,2086372, 9764 , 7656 , 0 , 802 , 18222 ,CHEYENNE,2011
29,CHEYENNE COUNTY RE-5,1558290,1332532,248,5018491,7909561, 8874 , 7588 , 1 , 28579 , 45043 ,CHEYENNE,2011
30,CLEAR CREEK RE-1,5268673,4743727,0,15450578,25462978, 5808 , 5230 , 0 , 17033 , 28071 ,CLEAR CREEK,2011
31,NORTH CONEJOS RE-1J,5645357,3426969,0,243677,9316003, 5377 , 3264 , 0 , 232 , 8872 ,CONEJOS,2011
32,SANFORD 6J,1873125,1189438,0,577829,3640392, 5704 , 3622 , 0 , 1760 , 11085 ,CONEJOS,2011
33,SOUTH CONEJOS RE-10,1500314,1473348,285,66216,3040164, 5914 , 5807 , 1 , 261 , 11983 ,CONEJOS,2011
34,CENTENNIAL R-1,1146650,1347480,0,1143089,3637219, 4861 , 5712 , 0 , 4846 , 15418 ,COSTILLA,2011
35,SIERRA GRANDE R-30,1655065,2171706,0,336992,4163762, 6119 , 8028 , 0 , 1246 , 15393 ,COSTILLA,2011
36,CROWLEY COUNTY RE-1-J,2356953,1940489,0,161671,4459114, 4854 , 3996 , 0 , 333 , 9183 ,CROWLEY,2011
37,CONSOLIDATED C-1,2272482,1765506,0,2485898,6523887, 5061 , 3932 , 0 , 5537 , 14530 ,CUSTER,2011
38,DELTA COUNTY 50(J),27095567,13635667,3730,28703417,69438381, 5351 , 2693 , 1 , 5669 , 13714 ,DELTA,2011
39,DENVER COUNTY 1,445458597,384559117,24083605,376042967,1230144286, 5939 , 5127 , 321 , 5014 , 16401 ,DENVER,2011
40,DOLORES COUNTY RE NO.2,1778909,1443053,0,388379,3610340, 6663 , 5405 , 0 , 1455 , 13522 ,DOLORES,2011
41,DOUGLAS COUNTY RE 1,290525230,185604803,832632,183111462,660074127, 4874 , 3114 , 14 , 3072 , 11074 ,DOUGLAS,2011
42,EAGLE COUNTY RE 50,36781755,26959227,1341035,24393469,89475487, 6137 , 4498 , 224 , 4070 , 14928 ,EAGLE,2011
43,ELIZABETH C-1,11552301,10927528,229963,6342578,29052370, 4484 , 4242 , 89 , 2462 , 11277 ,ELBERT,2011
44,KIOWA C-2,2048736,1349278,0,335286,3733300, 5728 , 3772 , 0 , 937 , 10437 ,ELBERT,2011
45,BIG SANDY 100J,2084007,1210121,2173,2990538,6286839, 6810 , 3955 , 7 , 9773 , 20545 ,ELBERT,2011
46,ELBERT 200,1524465,1074631,0,41766,2640861, 6855 , 4832 , 0 , 188 , 11874 ,ELBERT,2011
47,AGATE 300,314589,411232,0,8548,734369, 6869 , 8979 , 0 , 187 , 16034 ,ELBERT,2011
48,CALHAN RJ-1,2676570,1947394,0,173776,4797740, 5159 , 3754 , 0 , 335 , 9248 ,EL PASO,2011
49,HARRISON 2,50347660,40640718,95971,11878043,102962393, 4862 , 3925 , 9 , 1147 , 9943 ,EL PASO,2011
50,WIDEFIELD 3,39394071,27862135,1308042,4477352,73041601, 4592 , 3248 , 152 , 522 , 8515 ,EL PASO,2011
51,FOUNTAIN 8,37719632,26830998,148183,12142176,76840989, 5233 , 3722 , 21 , 1684 , 10660 ,EL PASO,2011
52,COLORADO SPRINGS 11,156732194,102662745,1003119,34424388,294822446, 5565 , 3645 , 36 , 1222 , 10468 ,EL PASO,2011
53,CHEYENNE MOUNTAIN 12,21842315,13852462,42498,20393418,56130692, 4958 , 3144 , 10 , 4629 , 12742 ,EL PASO,2011
54,MANITOU SPRINGS 14,8039117,5757298,2849,717546,14516809, 5604 , 4013 , 2 , 500 , 10120 ,EL PASO,2011
55,ACADEMY 20,116364214,76150859,330635,66681893,259527602, 5186 , 3394 , 15 , 2972 , 11566 ,EL PASO,2011
56,ELLICOTT 22,4256775,3570723,0,3025088,10852586, 4518 , 3790 , 0 , 3211 , 11518 ,EL PASO,2011
57,PEYTON 23 JT,2845645,2350101,0,3671771,8867518, 4388 , 3624 , 0 , 5662 , 13674 ,EL PASO,2011
58,HANOVER 28,1436044,1314951,0,802486,3553481, 6019 , 5511 , 0 , 3363 , 14893 ,EL PASO,2011
59,LEWIS-PALMER 38,26035998,20808353,354374,49752252,96950978, 4594 , 3671 , 63 , 8778 , 17106 ,EL PASO,2011
60,FALCON 49,56585096,46100349,11710,17599959,120297114, 3962 , 3227 , 1 , 1232 , 8422 ,EL PASO,2011
61,EDISON 54 JT,1143831,970218,0,50366,2164415, 6223 , 5279 , 0 , 274 , 11776 ,EL PASO,2011
62,MIAMI/YODER 60 JT,1646851,1384654,0,261072,3292577, 5391 , 4532 , 0 , 855 , 10778 ,EL PASO,2011
63,CANON CITY RE-1,17833015,12329770,175758,10460152,40798696, 4723 , 3265 , 47 , 2770 , 10805 ,FREMONT,2011
64,FLORENCE RE-2,7250914,5837218,140006,7400446,20628585, 4446 , 3579 , 86 , 4538 , 12649 ,FREMONT,2011
65,COTOPAXI RE-3,1311048,1107051,0,224660,2642760, 6312 , 5330 , 0 , 1082 , 12724 ,FREMONT,2011
66,ROARING FORK RE-1,31287549,16206256,0,88344174,135837979, 6095 , 3157 , 0 , 17211 , 26464 ,GARFIELD,2011
67,GARFIELD RE-2,21218663,19223011,16115,29319320,69777109, 4684 , 4243 , 4 , 6472 , 15402 ,GARFIELD,2011
68,GARFIELD 16,5454157,5302420,0,5151493,15908070, 4730 , 4598 , 0 , 4467 , 13795 ,GARFIELD,2011
69,GILPIN COUNTY RE-1,2375462,2292190,0,1841714,6509366, 7177 , 6925 , 0 , 5564 , 19666 ,GILPIN,2011
70,WEST GRAND 1-JT.,2750490,2283555,11742,884543,5930330, 6157 , 5112 , 26 , 1980 , 13276 ,GRAND,2011
71,EAST GRAND 2,7257329,5706296,4136,10626927,23594688, 5576 , 4384 , 3 , 8165 , 18127 ,GRAND,2011
72,GUNNISON WATERSHED RE1J,9551912,6088434,626,5185131,20826103, 5541 , 3532 , 0 , 3008 , 12080 ,GUNNISON,2011
73,HINSDALE COUNTY RE 1,806946,615043,6425,101294,1529708, 9793 , 7464 , 78 , 1229 , 18564 ,HINSDALE,2011
74,HUERFANO RE-1,2784726,2541904,0,5437592,10764222, 4857 , 4434 , 0 , 9485 , 18776 ,HUERFANO,2011
75,LA VETA RE-2,1405165,1240026,0,318191,2963382, 6002 , 5297 , 0 , 1359 , 12659 ,HUERFANO,2011
76,NORTH PARK R-1,1533359,1156026,0,388,2689773, 8152 , 6146 , 0 , 2 , 14300 ,JACKSON,2011
77,JEFFERSON COUNTY R-1,431165045,289496883,176792,128140153,848978872, 5322 , 3573 , 2 , 1582 , 10478 ,JEFFERSON,2011
78,EADS RE-1,1246047,887395,0,22922,2156364, 7088 , 5048 , 0 , 130 , 12266 ,KIOWA,2011
79,PLAINVIEW RE-2,624962,584719,0,0,1209681, 7901 , 7392 , 0 , 0 , 15293 ,KIOWA,2011
80,ARRIBA-FLAGLER C-20,1185567,867428,4923,125178,2183096, 7909 , 5787 , 33 , 835 , 14564 ,KIT CARSON,2011
81,HI PLAINS R-23,922268,788240,0,32985,1743493, 7883 , 6737 , 0 , 282 , 14902 ,KIT CARSON,2011
82,STRATTON R-4,1342544,1022635,0,28087,2393265, 7336 , 5588 , 0 , 153 , 13078 ,KIT CARSON,2011
83,BETHUNE R-5,1167087,844353,0,100,2011541, 9621 , 6961 , 0 , 1 , 16583 ,KIT CARSON,2011
84,BURLINGTON RE-6J,3683266,2456917,27204,550869,6718256, 5006 , 3339 , 37 , 749 , 9131 ,KIT CARSON,2011
85,LAKE COUNTY R-1,5941246,4792777,818255,865817,12418094, 5458 , 4403 , 752 , 795 , 11408 ,LAKE,2011
86,DURANGO 9-R,24173539,16460438,181173,28142976,68958126, 5440 , 3704 , 41 , 6333 , 15518 ,LA PLATA,2011
87,BAYFIELD 10 JT-R,6115310,4962845,0,2707143,13785298, 4622 , 3751 , 0 , 2046 , 10418 ,LA PLATA,2011
88,IGNACIO 11 JT,5057006,4494904,496,1913360,11465765, 6566 , 5836 , 1 , 2484 , 14887 ,LA PLATA,2011
89,POUDRE R-1,136165012,110123060,474289,57170841,303933202, 5235 , 4233 , 18 , 2198 , 11684 ,LARIMER,2011
90,THOMPSON R-2J,72582278,57124467,1271536,112663428,243641709, 4947 , 3893 , 87 , 7678 , 16605 ,LARIMER,2011
91,PARK (ESTES PARK) R-3,6470362,5226162,0,10935304,22631828, 5745 , 4641 , 0 , 9710 , 20096 ,LARIMER,2011
92,TRINIDAD 1,6885216,5774670,1788,533950,13195623, 4795 , 4022 , 1 , 372 , 9190 ,LAS ANIMAS,2011
93,PRIMERO REORGANIZED 2,1453629,1524788,0,1372821,4351238, 7330 , 7689 , 0 , 6923 , 21943 ,LAS ANIMAS,2011
94,HOEHNE REORGANIZED 3,1332956,1407758,0,288931,3029645, 3948 , 4170 , 0 , 856 , 8974 ,LAS ANIMAS,2011
95,AGUILAR REORGANIZED 6,1022003,971991,0,85148,2079142, 9232 , 8780 , 0 , 769 , 18782 ,LAS ANIMAS,2011
96,BRANSON REORGANIZED 82,1894160,1121924,9102,0,3025186, 4368 , 2587 , 21 , 0 , 6977 ,LAS ANIMAS,2011
97,KIM REORGANIZED 88,523570,625783,0,0,1149352, 9434 , 11275 , 0 , 0 , 20709 ,LAS ANIMAS,2011
98,GENOA-HUGO C-113,1274156,925712,0,128678,2328546, 7625 , 5540 , 0 , 770 , 13935 ,LINCOLN,2011
99,LIMON RE-4J,2356132,1531066,321,256916,4144434, 5218 , 3391 , 1 , 569 , 9179 ,LINCOLN,2011
100,KARVAL RE-23,1014434,924198,0,0,1938632, 5075 , 4623 , 0 , 0 , 9698 ,LINCOLN,2011
101,VALLEY RE-1,11715436,7949587,57923,12074093,31797039, 5092 , 3455 , 25 , 5248 , 13821 ,LOGAN,2011
102,FRENCHMAN RE-3,1438512,842803,0,40889,2322204, 7992 , 4682 , 0 , 227 , 12901 ,LOGAN,2011
103,BUFFALO RE-4,1824249,1289719,0,158317,3272285, 5923 , 4187 , 0 , 514 , 10624 ,LOGAN,2011
104,PLATEAU RE-5,1434456,1065607,0,1256041,3756105, 8340 , 6195 , 0 , 7303 , 21838 ,LOGAN,2011
105,DE BEQUE 49JT,973758,767416,0,268083,2009257, 7796 , 6144 , 0 , 2146 , 16087 ,MESA,2011
106,PLATEAU VALLEY 50,2175177,1578288,0,3098662,6852126, 4700 , 3410 , 0 , 6695 , 14806 ,MESA,2011
107,MESA COUNTY VALLEY 51,104127883,63213991,349433,104737817,272429124, 4967 , 3015 , 17 , 4996 , 12995 ,MESA,2011
108,CREEDE CONSOLIDATED 1,890961,661968,0,101920,1654849, 9119 , 6776 , 0 , 1043 , 16938 ,MINERAL,2011
109,MOFFAT COUNTY RE:NO 1,12551427,9996576,0,2730212,25278215, 5642 , 4493 , 0 , 1227 , 11362 ,MOFFAT,2011
110,MONTEZUMA-CORTEZ RE-1,13210044,11424213,500,550905,25185661, 4678 , 4045 , 0 , 195 , 8918 ,MONTEZUMA,2011
111,DOLORES RE-4A,3463090,2255107,0,325857,6044054, 5207 , 3391 , 0 , 490 , 9087 ,MONTEZUMA,2011
112,MANCOS RE-6,1986889,1714469,0,212983,3914340, 5409 , 4668 , 0 , 580 , 10657 ,MONTEZUMA,2011
113,MONTROSE COUNTY RE-1J,26814951,17652957,568347,12744952,57781207, 4448 , 2928 , 94 , 2114 , 9584 ,MONTROSE,2011
114,WEST END RE-2,1652887,1892376,0,130095,3675358, 5306 , 6075 , 0 , 418 , 11799 ,MONTROSE,2011
115,BRUSH RE-2(J),7227887,4728194,0,7105098,19061178, 5060 , 3310 , 0 , 4975 , 13345 ,MORGAN,2011
116,FORT MORGAN RE-3,13787371,12221315,319995,9685653,36014333, 4611 , 4087 , 107 , 3239 , 12043 ,MORGAN,2011
117,WELDON VALLEY RE-20(J),1429339,872574,23879,92926,2418718, 7143 , 4361 , 119 , 464 , 12088 ,MORGAN,2011
118,WIGGINS RE-50(J),2659825,1916797,0,425065,5001688, 5349 , 3854 , 0 , 855 , 10058 ,MORGAN,2011
119,EAST OTERO R-1,7172621,5065814,176609,1320546,13735590, 5391 , 3807 , 133 , 993 , 10324 ,OTERO,2011
120,ROCKY FORD R-2,4441660,3408219,28406,6000,7884286, 5378 , 4127 , 34 , 7 , 9546 ,OTERO,2011
121,MANZANOLA 3J,1088937,1284968,3064,37068,2414036, 6226 , 7347 , 18 , 212 , 13802 ,OTERO,2011
122,FOWLER R-4J,2436223,1405598,0,1551660,5393481, 5926 , 3419 , 0 , 3774 , 13120 ,OTERO,2011
123,CHERAW 31,1413383,1026490,63602,105184,2608659, 7102 , 5158 , 320 , 529 , 13109 ,OTERO,2011
124,SWINK 33,2104824,1482952,0,657561,4245336, 5837 , 4112 , 0 , 1824 , 11773 ,OTERO,2011
125,OURAY R-1,1748957,1083213,0,218071,3050241, 8161 , 5055 , 0 , 1018 , 14234 ,OURAY,2011
126,RIDGWAY R-2,2235403,1754259,4000,6523079,10516742, 6701 , 5259 , 12 , 19554 , 31525 ,OURAY,2011
127,PLATTE CANYON 1,5358099,4559976,153334,931594,11003003, 4803 , 4088 , 137 , 835 , 9864 ,PARK,2011
128,PARK COUNTY RE-2,4183166,2808904,5306,25055432,32052809, 8040 , 5399 , 10 , 48156 , 61604 ,PARK,2011
129,HOLYOKE RE-1J,3489309,1859909,0,1988099,7337318, 5892 , 3141 , 0 , 3357 , 12390 ,PHILLIPS,2011
130,HAXTUN RE-2J,2033549,1081620,0,3200,3118370, 7007 , 3727 , 0 , 11 , 10746 ,PHILLIPS,2011
131,ASPEN 1,17564164,7016840,0,31442188,56023193, 10672 , 4263 , 0 , 19105 , 34040 ,PITKIN,2011
132,GRANADA RE-1,1682334,1311191,0,0,2993525, 7405 , 5771 , 0 , 0 , 13176 ,PROWERS,2011
133,LAMAR RE-2,7629648,4136047,132665,3510698,15409058, 4838 , 2623 , 84 , 2226 , 9772 ,PROWERS,2011
134,HOLLY RE-3,1633434,1095248,18551,6045034,8792267, 5990 , 4016 , 68 , 22167 , 32242 ,PROWERS,2011
135,WILEY RE-13 JT,1406653,911564,0,82893,2401110, 6199 , 4017 , 0 , 365 , 10582 ,PROWERS,2011
136,PUEBLO CITY 60,82440918,67282294,289546,9587931,159600689, 4857 , 3964 , 17 , 565 , 9403 ,PUEBLO,2011
137,PUEBLO COUNTY RURAL 70,37190168,36419368,10196,21240879,94860611, 4335 , 4245 , 1 , 2476 , 11056 ,PUEBLO,2011
138,MEEKER RE1,3871834,2271884,0,2360736,8504454, 5977 , 3507 , 0 , 3644 , 13128 ,RIO BLANCO,2011
139,RANGELY RE-4,2819582,2379767,10843,2574334,7784526, 6209 , 5241 , 24 , 5669 , 17143 ,RIO BLANCO,2011
140,DEL NORTE C-7,2588572,2215081,0,529874,5333528, 4549 , 3893 , 0 , 931 , 9374 ,RIO GRANDE,2011
141,MONTE VISTA C-8,5180736,4023449,0,22807957,32012142, 4499 , 3494 , 0 , 19805 , 27798 ,RIO GRANDE,2011
142,SARGENT RE-33J,2359631,1973443,0,373713,4706788, 5028 , 4205 , 0 , 796 , 10029 ,RIO GRANDE,2011
143,HAYDEN RE-1,3231868,2228233,0,70392,5530493, 8228 , 5673 , 0 , 179 , 14080 ,ROUTT,2011
144,STEAMBOAT SPRINGS RE-2,13241065,8594781,0,7231582,29067429, 5925 , 3846 , 0 , 3236 , 13007 ,ROUTT,2011
145,SOUTH ROUTT RE 3,2971748,2095397,0,915742,5982888, 7849 , 5535 , 0 , 2419 , 15803 ,ROUTT,2011
146,MOUNTAIN VALLEY RE 1,1055956,858845,6228,0,1921029, 9064 , 7372 , 53 , 0 , 16490 ,SAGUACHE,2011
147,MOFFAT 2,1632741,1305003,0,4475206,7412950, 8180 , 6538 , 0 , 22421 , 37139 ,SAGUACHE,2011
148,CENTER 26 JT,3882536,3307372,125738,20526553,27842199, 6693 , 5701 , 217 , 35385 , 47996 ,SAGUACHE,2011
149,SILVERTON 1,730805,409292,0,6181429,7321526, 10859 , 6082 , 0 , 91849 , 108789 ,SAN JUAN,2011
150,TELLURIDE R-1,5129801,3190128,247932,2253292,10821153, 7109 , 4421 , 344 , 3123 , 14996 ,SAN MIGUEL,2011
151,NORWOOD R-2J,2002888,1419245,0,295312,3717445, 7689 , 5448 , 0 , 1134 , 14270 ,SAN MIGUEL,2011
152,JULESBURG RE-1,4075313,1630503,0,111428,5817244, 4700 , 1881 , 0 , 129 , 6710 ,SEDGWICK,2011
153,PLATTE VALLEY RE-3,1202273,794366,0,0,1996639, 9665 , 6386 , 0 , 0 , 16050 ,SEDGWICK,2011
154,SUMMIT RE-1,19002258,14664891,0,45548651,79215800, 6458 , 4984 , 0 , 15481 , 26923 ,SUMMIT,2011
155,CRIPPLE CREEK-VICTOR RE-1,3788195,1724578,0,1292359,6805131, 9217 , 4196 , 0 , 3144 , 16557 ,TELLER,2011
156,WOODLAND PARK RE-2,13553777,8298072,0,2039067,23890916, 5081 , 3111 , 0 , 764 , 8957 ,TELLER,2011
157,AKRON R-1,2187495,1476667,0,17504052,21168214, 5915 , 3993 , 0 , 47334 , 57242 ,WASHINGTON,2011
158,ARICKAREE R-2,861951,871826,0,0,1733777, 8534 , 8632 , 0 , 0 , 17166 ,WASHINGTON,2011
159,OTIS R-3,1359455,945882,0,60970,2366307, 7281 , 5066 , 0 , 327 , 12674 ,WASHINGTON,2011
160,LONE STAR 101,1093754,579025,0,0,1672779, 10222 , 5411 , 0 , 0 , 15633 ,WASHINGTON,2011
161,WOODLIN R-104,807893,887833,0,0,1695726, 8522 , 9365 , 0 , 0 , 17887 ,WASHINGTON,2011
162,WELD RE-1,9019282,6744292,10479,263346,16037399, 4979 , 3723 , 6 , 145 , 8854 ,WELD,2011
163,EATON RE-2,8270163,5158925,3765,1863129,15295982, 4726 , 2948 , 2 , 1065 , 8741 ,WELD,2011
164,KEENESBURG RE-3(J),10633504,8906912,5660,5160832,24706908, 4961 , 4156 , 3 , 2408 , 11528 ,WELD,2011
