district_id,school_id,school,city,state,zipcode
880,10,Abraham Lincoln High School,Denver,CO,80219
900,11,Academy Charter School,Castle Rock,CO,80104
900,12,Acres Green Elementary School,Littleton,CO,80124
20,14,Glacier Peak Elementary School,Brighton,CO,80605
20,15,Academy Of Charter Schools,Westminster,CO,80031
130,16,Fox Hollow Elementary School,Aurora,CO,80116
1040,17,Academy Endeavour Elementary School,Colorado Springs,CO,80920
130,18,Liberty Middle School,Aurora,CO,80016
1040,19,Academy International Elementary School,Colorado Springs,CO,80920
30,20,Adams City Middle School,Commerce City,CO,80022
30,22,Lester R Arnold High School,Commerce City,CO,80022
30,24,Adams City High School,Commerce City,CO,80022
2700,25,Sky View Middle School,Pueblo West,CO,81007
2700,26,Desert Sage Elementary School,Pueblo West,CO,81007
980,29,Adult & Family Literacy,Colorado Springs,CO,80906
1420,30,Adams Elementary School,Westminster,CO,80021
1420,33,Mc Lain High School,Lakewood,CO,80228
1420,34,Mc Lain Community High School,Lakewood,CO,80228
970,35,Frontier Charter Academy,Calhan,CO,80808
910,37,Red Hill Elementary School,Gypsum,CO,81637
910,38,Brush Creek Elementary School,Eagle,CO,81631
910,39,Gypsum Creek Middle School,Gypsum,CO,81637
880,40,Ridge View Academy Charter School,Watkins,CO,80137
2640,42,Aspen Community Charter School,Woody Creek,CO,81656
960,44,Agate Elementary School,Agate,CO,80101
960,48,Agate Junior-Senior High School,Agate,CO,80101
890,50,Rico Elementary School,Rico,CO,81332
2810,51,The Academic Recovery Center Of San Luis Valley,Center,CO,81125
3120,52,Heiman Elementary School,Evans,CO,80620
3120,53,Winograd K-8 Elementary School,Greeley,CO,80634
3120,54,Romero Elementary School,Greeley,CO,80631
3100,55,Grandview Elementary School,Windsor,CO,80550
2540,56,Fowler Elementary School,Fowler,CO,80139
20,57,Rocky Top Middle School,Thornton,CO,80602
1620,58,Aguilar Elementary School,Aguilar,CO,81020
20,59,Meridian Elementary School,Broomfield,CO,80020
470,60,Legacy Elementary School,Frederick,CO,80504
470,61,Alpine Elementary School,Longmont,CO,80501
1390,63,Peakview School,Walsenburg,CO,81089
220,64,Archuleta County High School,Pagosa Springs,CO,81147
1195,65,Coal Ridge High School,New Castle,CO,81647
1620,66,Aguilar Junior-Senior High School,Aguilar,CO,81020
880,67,Academy Of Urban Learning,Denver,CO,80218
20,70,Adams12 Five Star Preschool,Thornton,CO,80241
1040,74,Challenger Middle School,Colorado Springs,CO,80920
8001,75,Animas High School,Durango,CO,81320
1040,76,Air Academy High School,Usaf Academy,CO,80840
3030,86,Akron Elementary School,Akron,CO,80720
3030,90,Akron High School,Akron,CO,80720
1420,108,Alameda High School,Lakewood,CO,80232
1420,109,Arvada K-8,Arvada,CO,80002
1040,110,Academy Online High School,Colorado Springs,CO,80920
100,114,Ortega Middle School,Alamosa,CO,81101
100,115,Alamosa Elementary School,Alamosa,CO,81101
100,118,Alamosa High School,Alamosa,CO,81101
100,119,Alamosa Open School,Alamosa,CO,81101
30,124,Stars Early Learning Center,Commerce City,CO,80022
480,125,Arapahoe Ridge High School,Boulder,CO,80303
123,138,Alice Terry Elementary School,Englewood,CO,80150
130,141,Sky Vista Middle School,Aurora,CO,80015
1550,146,Ridgeview Classical Charter Schools,Fort Collins,CO,80525
1420,148,Allendale Elementary School,Arvada,CO,80004
30,186,Alsup Elementary School,Commerce City,CO,80022
10,187,Mapleton Expeditionary School Of The Arts,Thornton,CO,80299
2660,200,Alta Vista Charter School,Lamar,CO,81052
900,201,Daniel C Oakes High School--Castle Rock,Castle Rock,CO,80104
1828,202,Smith High School,Sterling,CO,80751
1000,203,Lorraine Secondary School,Fountain,CO,80817
910,205,Red Canyon High School,Edwards,CO,81631
120,206,Colorado's Finest Alternative High School,Englewood,CO,80110
1040,209,Aspen Valley High School,Colorado Springs,CO,80920
20,210,Vantage Point,Northglenn,CO,80234
10,212,Mapleton Early College High School,Denver,CO,80229
180,213,Axl Academy,Aurora,CO,80012
180,214,Altura Elementary School,Aurora,CO,80011
900,215,American Academy At Castle Pines Charter,Lone Tree,CO,80124
180,219,Aps Online School,Aurora,CO,80010
880,220,Amesse Elementary School,Denver,CO,80239
1520,225,Animas Valley Elementary School,Durango,CO,81301
470,226,Altona Middle School,Longmont,CO,80503
130,242,Antelope Ridge Elementary School,Aurora,CO,80015
130,243,Coyote Hills Elementary School,Aurora,CO,80016
580,248,Guadalupe Elementary School,Antonito,CO,81120
1040,249,Antelope Trails Elementary School,Colorado Springs,CO,80921
580,250,Antonito Junior High School,Antonito,CO,81120
580,252,Antonito High School,Antonito,CO,81120
2000,262,Appleton Elementary School,Grand Junction,CO,81505
10,263,Global Leadership Academy,Denver,CO,80221
900,264,Cimarron Middle,Parker,CO,80134
900,265,Clear Sky Elementary,Castle Rock,CO,80109
900,266,Gold Rush Elementary,Parker,CO,80134
900,267,Mesa Middle School,Castle Rock,CO,80104
1010,269,Achievek12,Colorado Springs,CO,80915
140,298,Arapahoe High School,Centennial,CO,80122
20,301,Arapahoe Ridge Elementary School,Westminster,CO,80030
3040,304,Arickaree Elementary School,Anton,CO,80801
3040,308,Arickaree Undivided High School,Anton,CO,80801
10,309,Skyview Academy High School,Thornton,CO,80229
180,310,Arkansas Elementary School,Aurora,CO,80017
130,348,Arrowhead Elementary School,Aurora,CO,80013
900,354,Arrowwood Elementary School,Highlands Ranch,CO,80130
2000,361,Fruita 8/9 School,Fruita,CO,81521
2000,362,Rim Rock Elementary School,Fruita,CO,81521
2000,363,Pear Park Elementary School,Grand Junction,CO,81504
1420,370,Arvada High School,Arvada,CO,80004
1420,378,Arvada West High School,Arvada,CO,80004
880,388,Asbury Elementary School,Denver,CO,80210
880,408,Valdez Elementary School,Denver,CO,80211
880,418,Ashley Elementary School,Denver,CO,80220
2640,428,Aspen Elementary School,Aspen,CO,81611
1180,429,Carbondale Community Charter School,Carbondale,CO,81623
2640,430,Aspen Middle School,Aspen,CO,81611
2640,432,Aspen High School,Aspen,CO,81611
480,441,Aspen Creek K-8 School,Broomfield,CO,80020
130,442,Aspen Crossing Elementary School,Centennial,CO,80015
2640,447,Aspen Pre-School,Aspen,CO,81611
1010,452,Audubon Elementary School,Colorado Springs,CO,80909
180,458,Aurora Academy Charter School,Aurora,CO,80010
180,464,Aurora Hills Middle School,Aurora,CO,80012
180,465,Aurora Frontier K-8,Aurora,CO,80013
980,469,Atlas Preparatory School,Colorado Springs,CO,80916
910,471,Avon Elementary School,Avon,CO,81620
2700,472,Avondale Elementary School,Avondale,CO,81022
1550,477,Zach Elementary School,Fort Collins,CO,80528
870,489,Backpack Early Learning Academy,Delta,CO,81416
1550,490,Bacon Elementary School,Fort Collins,CO,80528
2405,492,Baker Central School,Fort Morgan,CO,80701
1550,498,Bethke Elementary School,Timnath,CO,80547
10,501,Monterey Community School,Denver,CO,80229
10,502,Meadow Community School,Thornton,CO,80229
10,503,York International,Thornton,CO,80229
10,504, Welby Montessori School,Denver,CO,80229
10,505,Achieve Academy,Thornton,CO,80229
10,506,Explore Elementary,Thornton,CO,80229
10,507,Adventure Elementary,Denver,CO,80221
10,509,Clayton Partnership School,Thornton,CO,80229
1560,510,Conrad Ball Middle School,Loveland,CO,80538
1828,515,Ayres Elementary School,Sterling,CO,80751
1010,517,Academy For Advanced And Creative Learning,Colorado Springs,CO,80907
880,520,Barnum Elementary School,Denver,CO,80219
880,540,Barrett Elementary School,Denver,CO,80205
1550,550,Barton Prekindergarten,Fort Collins,CO,80525
1110,555,Banning Lewis Ranch Academy,Colorado Springs,CO,80927
1180,560,Basalt Elementary School,Basalt,CO,81621
1180,561,Basalt Middle School,Basalt,CO,81621
1180,570,Basalt High School,Basalt,CO,81621
1010,594,Bates Elementary School,Colorado Springs,CO,80907
910,604,Battle Mountain High School,Edwards,CO,81620
2035,609,Battle Rock Charter School,Cortez,CO,81321
1550,612,Bauder Elementary School,Fort Collins,CO,80526
1530,632,Bayfield Elementary School,Bayfield,CO,81122
1530,636,Bayfield Middle School,Bayfield,CO,81122
1530,640,Bayfield High School,Bayfield,CO,81122
880,650,Beach Court Elementary School,Denver,CO,80221
900,651,Bear Canyon Elementary School,Highlands Ranch,CO,80126
480,652,Bear Creek Elementary School,Boulder,CO,80305
8001,653,Stone Creek School,Avon,CO,81620
8001,654,The Pinnacle Charter School Elementary,Federal Heights,CO,80206
8001,655,High Point Academy,Aurora,CO,80019
8001,657,T.R. Paul Academy Of Arts & Knowledge,Ft Collins,CO,80525
1420,660,Bear Creek K-8 School,Lakewood,CO,80227
1420,664,Bear Creek High School,Lakewood,CO,80227
1550,678,Beattie Elementary School,Fort Collins,CO,80526
1420,694,Bell Middle School,Golden,CO,80401
40,700,Belle Creek Charter School,Henderson,CO,80640
130,714,Belleview Elementary School,Greenwood Village,CO,80111
1420,724,Belmar Elementary School,Lakewood,CO,80226
2690,738,Belmont Elementary School,Pueblo,CO,81001
140,752,Franklin Elementary School,Centennial,CO,80121
3085,754,Benjamin Eaton Elementary School,Eaton,CO,80615
2690,756,Benjamin Franklin Elementary School,Pueblo,CO,81001
50,763,Bennett Preschool,Bennett,CO,80102
1550,766,Bennett Elementary School,Fort Collins,CO,80521
50,770,Bennett Elementary School,Bennett,CO,80102
50,774,Bennett Middle School,Bennett,CO,80102
50,775,Bennett High School,Bennett,CO,80102
1420,776,Bergen Meadow Primary School,Evergreen,CO,80439
1420,779,Bergen Valley Intermediate School,Evergreen,CO,80439
910,793,Berry Creek Middle School,Edwards,CO,81632
1560,808,Berthoud Elementary School,Berthoud,CO,80513
1560,812,Berthoud High School,Berthoud,CO,80513
2690,822,Bessemer Elementary School,Pueblo,CO,81004
1490,832,Bethune Elementary School,Bethune,CO,80805
1490,842,Bethune Junior-Senior High School,Bethune,CO,80805
2700,852,Beulah Elementary School,Beulah,CO,81023
2700,856,Beulah Middle School,Beulah,CO,81023
2690,860,Beulah Heights Elementary School,Pueblo,CO,81005
1560,865,B F Kitchen Elementary School,Loveland,CO,80537
1560,870,Big Thompson Elementary School,Loveland,CO,80538
1010,871,The Bijou School,Colorado Springs,CO,80904
480,872,Birch Elementary School,Broomfield,CO,80020
470,875,Black Rock Elementary,Erie,CO,80516
470,878,Blue Mountain Elementary,Longmont,CO,80503
1560,890,Mary Blair Elementary School,Loveland,CO,80538
1550,892,Blevins Middle School,Fort Collins,CO,80526
1550,898,Boltz Middle School,Fort Collins,CO,80525
2000,900,Bookcliff Middle School,Grand Junction,CO,81504
180,914,Boston K-8 School,Aurora,CO,80010
480,919,Boulder Community School/Integrated Studies,Boulder,CO,80303
480,924,Boulder High School,Boulder,CO,80302
480,930,Boulder Universal,Boulder,CO,80303
480,934,Boulder Prep Charter High School,Boulder,CO,80301
100,944,Boyd Elementary School,Alamosa,CO,81101
1750,948,Branson School Online,Branson,CO,81027
1420,950,Bradford Primary School,Littleton,CO,80127
1420,951,Blue Heron Elementary School,Littleton,CO,80123
1420,952,Bradford Intermediate School,Littleton,CO,80127
2690,954,Bradford Elementary School,Pueblo,CO,81001
880,964,Bradley Elementary School,Denver,CO,80222
1420,965,Brady Exploration School,Lakewood,CO,80226
1750,974,Branson Elementary School,Branson,CO,81027
1750,978,Branson Undivided High School,Branson,CO,81027
1750,979,Branson School Online Ged Prep,Branson,CO,81027
3120,988,Brentwood Middle School,Greeley,CO,80634
980,1000,Bricker Elementary School,Colorado Springs,CO,80916
1180,1006,Bridges,Carbondale,CO,81623
3146,1008,Briggsdale Elementary School,Briggsdale,CO,80611
3146,1012,Briggsdale Undivided High School,Briggsdale,CO,80611
20,1020,Bright Horizons Pre-Kindergarten School,Brighton,CO,80601
40,1021,Brighton Heritage Academy,Brighton,CO,80601
40,1022,Brighton High School,Brighton,CO,80601
1010,1032,Bristol Elementary School,Colorado Springs,CO,80905
2000,1046,Broadway Elementary School,Grand Junction,CO,81503
40,1052,Bromley East Charter School,Brighton,CO,80601
880,1056,Bromwell Elementary School,Denver,CO,80206
480,1066,Broomfield Heights Middle School,Broomfield,CO,80020
480,1070,Broomfield High School,Broomfield,CO,80020
880,1076,Brown Elementary School,Denver,CO,80211
2395,1094,Brush Middle School,Brush,CO,80723
2395,1096,Brush High School,Brush,CO,80723
880,1106,Bryant Webster K-8 School,Denver,CO,80211
1010,1126,Buena Vista Elementary School,Colorado Springs,CO,80905
490,1130,Buena Vista High School,Buena Vista,CO,81211
900,1131,Buffalo Ridge Elementary School,Castle Rock,CO,80108
490,1132,Harry L Mc Ginnis Middle School,Buena Vista,CO,81211
480,1136,Manhattan Middle School Of The Arts And Academics,Boulder,CO,80303
1500,1144,Burlington Elementary School,Burlington,CO,80807
470,1148,Burlington Elementary School,Longmont,CO,80501
1500,1150,Burlington Middle School,Burlington,CO,80807
1500,1152,Burlington High School,Burlington,CO,80807
490,1154,Buena Vista Online Academy,Buena Vista,CO,81211
130,1155,Buffalo Trail Elementary School,Aurora,CO,80016
190,1168,Byers Elementary School,Byers,CO,80103
190,1176,Byers Junior-Senior High School,Byers,CO,80103
1550,1186,Cache La Poudre Elementary School,La Porte,CO,80535
1550,1190,Cache La Poudre Middle School,La Porte,CO,80535
970,1210,Calhan Elementary School,Calhan,CO,80808
970,1215,Calhan Middle School,Calhan,CO,80808
970,1218,Calhan High School,Calhan,CO,80808
1828,1220,Caliche Elementary School,Iliff,CO,80736
1828,1224,Caliche Junior-Senior High School,Iliff,CO,80736
1420,1238,Campbell Elementary School,Arvada,CO,80004
470,1245,Centennial Elementary,Firestone,CO,80504
270,1248,Campo Elementary School,Campo,CO,81029
270,1252,Campo Undivided High School,Campo,CO,81029
1140,1262,Canon City Middle School,Canon City,CO,81212
1140,1266,Canon City High School,Canon City,CO,81212
900,1270,Early Childhood Center,Castle Rock,CO,80104
130,1273,Canyon Creek Elementary School,Aurora,CO,80015
550,1276,Centauri Middle School,La Jara,CO,81140
8001,1279,Caprock Academy,Grand Junction,CO,81505
470,1284,Carbon Valley Academy,Frederick,CO,80530
1180,1296,Carbondale Middle School,Carbondale,CO,81623
3090,1299,Cardinal Community Academy Charter School,Keenesburg,CO,80643
2690,1304,Carlile Elementary School,Pueblo,CO,81004
980,1306,Carmel Middle School,Colorado Springs,CO,80910
1420,1318,Carmody Middle School,Lakewood,CO,80227
880,1319,Fred N Thomas Career Education Center,Denver,CO,80211
1828,1321,Campbell Elementary School,Sterling,CO,80751
1560,1323,Carrie Martin Elementary School,Loveland,CO,80537
880,1324,Carson Elementary School,Denver,CO,80220
1000,1332,Carson Middle School,Fort Carson,CO,80902
1000,1334,Abrams Elementary School,Fort Carson,CO,80902
1010,1340,Carver Elementary School,Colorado Springs,CO,80917
880,1345,Cesar Chavez Academy Denver,Denver,CO,80212
480,1352,Casey Middle School,Boulder,CO,80304
900,1362,Castle Rock Elementary School,Castle Rock,CO,80104
900,1367,Castle View High School,Castle Rock,CO,80109
870,1372,Cedaredge High School,Cedaredge,CO,81413
870,1375,Cedaredge Middle School,Cedaredge,CO,81413
8001,1376,Scholars To Leaders Academy,Colorado Springs,CO,80907
2700,1377,Cedar Ridge Elementary School,Pueblo West,CO,81007
550,1378,Centauri High School,La Jara,CO,81140
480,1380,Centaurus High School,Lafayette,CO,80026
140,1382,Centennial Academy Of Fine Arts Education,Littleton,CO,80123
980,1383,Centennial Elementary School,Colorado Springs,CO,80910
3120,1384,Centennial Elementary School,Evans,CO,80620
1560,1385,Centennial Elementary School,Loveland,CO,80538
1580,1386,Trinidad Middle School,Trinidad,CO,81082
20,1388,Centennial Elementary School,Broomfield,CO,80020
480,1390,Centennial Middle School,Boulder,CO,80304
2180,1392,Centennial Middle School,Montrose,CO,81401
640,1396,Centennial Junior High School,San Luis,CO,81152
640,1398,Centennial High School,San Luis,CO,81152
880,1400,Centennial K-8 School,Denver,CO,80212
2690,1402,Centennial High School,Pueblo,CO,81008
2810,1412,Haskin Elementary School,Center,CO,81125
2810,1416,Skoglund Middle School,Center,CO,81125
2810,1420,Center High School,Center,CO,81125
30,1426,Central Elementary School,Commerce City,CO,80022
470,1434,Central Elementary School,Longmont,CO,80501
2395,1438,Beaver Valley Elementary School,Brush,CO,80723
3090,1446,Weld Central Senior High School,Keenesburg,CO,80643
2000,1450,Central High School,Grand Junction,CO,81504
2690,1454,Central High School,Pueblo,CO,81004
180,1458,Aurora Central High School,Aurora,CO,80010
180,1470,Century Elementary School,Aurora,CO,80014
20,1480,Century Middle School,Thornton,CO,80241
2690,1488,Cesar Chavez Academy,Pueblo,CO,81003
980,1490,Chamberlin Academy,Colorado Springs,CO,80906
3120,1500,Chappelow K-8 Magnet School,Evans,CO,80620
900,1503,Chaparral High School,Parker,CO,80134
2690,1504,Goodnight Elementary School,Pueblo,CO,81005
490,1508,Chaffee County High School,Buena Vista,CO,81211
130,1510,Challenge School,Denver,CO,80231
900,1512,Challenge To Excellence Charter School,Parker,CO,80134
120,1514,Charles Hay World School,Englewood,CO,80113
20,1519,Stargate Charter School,Thornton,CO,80241
2000,1520,Chatfield Elementary School,Grand Junction,CO,81504
1420,1522,Chatfield High School,Littleton,CO,80127
880,1528,Cheltenham Elementary School,Denver,CO,80204
2560,1538,Cheraw Elementary School,Cheraw,CO,81030
2560,1546,Cheraw High School,Cheraw,CO,81030
2560,1548,Cheraw Middle School,Cheraw,CO,81030
130,1551,Cherokee Trail High School,Aurora,CO,80016
120,1556,Cherrelyn Elementary School,Englewood,CO,80113
130,1566,Campus Middle School,Greenwood Village,CO,80111
130,1568,West Middle School,Greenwood Village,CO,80121
130,1570,Cherry Creek High School,Greenwood Village,CO,80111
130,1571,Cherry Creek Charter Academy,Greenwood Village,CO,80111
130,1572,High Plains Elementary School,Greenwood Village,CO,80111
130,1574,Cherry Hills Village Elementary School,Cherry Hills Village,CO,80110
900,1578,Cherry Valley Elementary School,Franktown,CO,80116
900,1579,North Star Academy,Parker,CO,80134
1020,1582,Cheyenne Mountain Charter Academy,Colorado Springs,CO,80906
1020,1586,Cheyenne Mountain Elementary School,Colorado Springs,CO,80906
1020,1588,Cheyenne Mountain Junior High School,Colorado Springs,CO,80905
1020,1590,Cheyenne Mountain High School,Colorado Springs,CO,80906
1020,1592,Broadmoor Elementary School,Colorado Springs,CO,80906
1020,1596,Canon Elementary School,Colorado Springs,CO,80906
1020,1604,Skyway Park Elementary School,Colorado Springs,CO,80905
520,1608,Cheyenne Wells Elementary School,Cheyenne Wells,CO,80810
520,1610,Cheyenne Wells Middle School,Cheyenne Wells,CO,80810
520,1612,Cheyenne Wells High School,Cheyenne Wells,CO,80810
1010,1613,Chipeta Elementary School,Colorado Springs,CO,80919
130,1614,Cimarron Elementary School,Aurora,CO,80013
1040,1615,Chinook Trail Elementary School,Colorado Springs,CO,80924
1010,1616,Civa Charter Academy,Colorado Springs,CO,80918
1110,1618,Evans International Elementary School,Colorado Springs,CO,80915
2000,1619,Chipeta Elementary School,Grand Junction,CO,81501
70,1622,Clara E. Metz Elementary School,Denver,CO,80221
1010,1625,Mcauliffe Elementary,Colorado Springs,CO,80915
1040,1627,The Classical Academy Charter,Colorado Springs,CO,80921
1040,1629,The Classical Academy Middle School,Colorado Springs,CO,80921
1040,1630,The Classical Academy High School,Colorado Springs,CO,80921
1330,1632,Gilpin County Elementary School,Black Hawk,CO,80403
1330,1634,Gilpin County Undivided High School,Black Hawk,CO,80403
120,1652,Clayton Elementary School,Englewood,CO,80110
540,1660,Clear Creek Middle School,Evergreen,CO,80439
2000,1686,Clifton Elementary School,Clifton,CO,81520
180,1720,Clyde Miller K-8,Aurora,CO,80011
480,1725,Coal Creek Elementary School,Louisville,CO,80027
1420,1730,Coal Creek Canyon K-8 Elementary School,Golden,CO,80403
880,1748,Colorado High School,Denver,CO,80204
20,1752,Colorado Virtual Academy (Cova),Northglenn,CO,80233
880,1774,Colfax Elementary School,Denver,CO,80204
880,1785,Cole Arts And Science Academy,Denver,CO,80205
880,1788,College View Elementary School,Denver,CO,80219
1420,1790,Colorow Elementary School,Littleton,CO,80123
8001,1791,Colorado Springs Charter Academy,Colorado Springs,CO,80909
8001,1795,Colorado Springs Early Colleges,Colorado Springs,CO,80907
10,1796,Colorado Connections Academy,Englewood,CO,80112
1010,1798,Columbia Elementary School,Colorado Springs,CO,80903
180,1800,Columbia Middle School,Aurora,CO,80013
290,1812,Las Animas Elementary School,Las Animas,CO,81054
880,1816,Columbian Elementary School,Denver,CO,80211
2690,1828,Columbian Elementary School,Pueblo,CO,81004
480,1842,Columbine Elementary School,Boulder,CO,80304
470,1844,Columbine Elementary School,Longmont,CO,80501
880,1846,Columbine Elementary School,Denver,CO,80205
2405,1850,Columbine Elementary School,Fort Morgan,CO,80701
1420,1861,Columbine Hills Elementary School,Littleton,CO,80128
1420,1864,Columbine High School,Littleton,CO,80123
880,1866,Ace Community Challenge Charter School,Denver,CO,80204
1420,1869,Compass Montessori - Wheat Ridge Charter School,Wheat Ridge,CO,80033
1010,1870,Coronado High School,Colorado Springs,CO,80904
2690,1872,Community Transition House,Pueblo,CO,81004
900,1873,Core Knowledge Charter School,Parker,CO,80138
3120,1875,Frontier Charter Academy,Greeley,CO,80634
1420,1876,Coronado Elementary School,Littleton,CO,80128
8001,1877,Colorado Provost Academy,Greenwood Village,CO,80111
20,1878,Coronado Hills Elementary School,Thornton,CO,80229
1420,1880,Compass Montessori - Golden Charter School,Golden,CO,80403
30,1882,Community Leadership Academy,Commerce City,CO,80022
480,1883,Community Montessori School,Boulder,CO,80305
1010,1885,Community Prep Charter School,Colorado Springs,CO,80903
1420,1886,Conifer Senior High School,Conifer,CO,80433
2035,1888,Cortez Middle School,Cortez,CO,81321
50,1889,Corridor Community Academy,Bennett,CO,80102
900,1899,Copper Mesa Elementary School,Highlands Ranch,CO,80126
8001,1901,Colorado Calvert Academy,Denver,CO,80203
880,1908,Cory Elementary School,Denver,CO,80210
20,1914,Cotton Creek Elementary School,Westminster,CO,80030
2180,1915,Cottonwood Elementary School,Montrose,CO,81401
130,1916,Cottonwood Creek Elementary School,Englewood,CO,80111
1560,1920,Cottonwood Plains Elementary School,Ft Collins,CO,80525
900,1925,Cougar Run Elementary School,Highlands Ranch,CO,80126
880,1928,Cowell Elementary School,Denver,CO,80204
900,1934,Coyote Creek Elementary School,Highlands Ranch,CO,80129
2020,1936,Sandrock Elementary,Craig,CO,81625
20,1937,Coyote Ridge Elementary School,Broomfield,CO,80020
2020,1938,Craig Middle School School,Craig,CO,81625
180,1948,Crawford Elementary School,Aurora,CO,80010
870,1952,Crawford Elementary School,Crawford,CO,81415
2010,1962,Lamb Elementary School,Creede,CO,81130
2010,1966,Creede Middle/High School,Creede,CO,81130
770,1967,Crowley County Online Academy,Ordway,CO,81063
130,1970,Creekside Elementary School,Centennial,CO,80016
1420,1976,Creighton Middle School,Lakewood,CO,80226
480,1996,Crest View Elementary School,Boulder,CO,80304
1360,2006,Crested Butte Community School,Crested Butte,CO,81224
900,2012,Cresthill Middle School,Highlands Ranch,CO,80130
2800,2018,Crestone Charter School,Crestone,CO,81131
3010,2024,Cripple Creek-Victor Junior-Senior High School,Cripple Creek,CO,80813
880,2027,Polaris At Ebert Elementary School,Denver,CO,80205
70,2035,Crown Pointe Charter Academy,Westminster,CO,80031
770,2050,Crowley County Elementary School,Ordway,CO,81063
770,2054,Crowley County Ward Middle School,Ordway,CO,81063
770,2058,Crowley County High School,Ordway,CO,81063
1180,2063,Crystal River Elementary School,Carbondale,CO,81623
860,2088,Custer County Elementary School,Westcliffe,CO,81252
1560,2089,Coyote Ridge Elementary School,Fort Collins,CO,80525
860,2091,Custer Middle School,Westcliffe,CO,81252
860,2092,Custer County High School,Westcliffe,CO,81252
1420,2093,Dakota Ridge Senior High School,Littleton,CO,80127
130,2094,Dakota Valley Elementary School,Aurora,CO,80013
180,2095,Dalton Elementary School,Aurora,CO,80013
2690,2096,Corwin International Magnet School,Pueblo,CO,81004
180,2114,Dartmouth Elementary School,Aurora,CO,80013
1420,2120,D'evelyn Junior/Senior High School,Denver,CO,80235
1980,2122,De Beque Elementary School,De Beque,CO,81630
880,2125,Denver Green School,Denver,CO,80224
1980,2126,De Beque Undivided High School,De Beque,CO,81630
880,2127,Denver Language School,Denver,CO,80220
2000,2128,Independence Academy,Grand Junction,CO,81501
1420,2130,Deer Creek Middle School,Littleton,CO,80123
170,2136,Deer Trail Elementary School,Deer Trail,CO,80105
170,2140,Deer Trail Junior-Senior High School,Deer Trail,CO,80105
