school,school_id,pct_remediation
ABRAHAM LINCOLN HIGH SCHOOL,10,0.785714
ACADEMY OF CHARTER SCHOOLS,15,
ADAMS CITY HIGH SCHOOL,24,0.569231
MC LAIN HIGH SCHOOL,33,0.545455
AIR ACADEMY HIGH SCHOOL,76,0.147368
AKRON HIGH SCHOOL,90,
ALAMEDA HIGH SCHOOL,108,0.5
ALAMOSA HIGH SCHOOL,118,0.483333
ARAPAHOE HIGH SCHOOL,298,0.166667
SKYVIEW HIGH SCHOOL,309,
ARVADA HIGH SCHOOL,370,0.566038
ARVADA WEST HIGH SCHOOL,378,0.327189
ASPEN HIGH SCHOOL,432,0.204545
BASALT HIGH SCHOOL,570,0.327273
BATTLE MOUNTAIN HIGH SCHOOL,604,0.328358
BAYFIELD HIGH SCHOOL,640,0.309524
BEAR CREEK HIGH SCHOOL,664,0.222222
BERTHOUD HIGH SCHOOL,812,0.211765
BOULDER HIGH SCHOOL,924,0.162679
BRIGHTON HIGH SCHOOL,1022,0.472
BROOMFIELD HIGH SCHOOL,1070,0.25
BRUSH HIGH SCHOOL,1096,0.294118
BUENA VISTA HIGH SCHOOL,1130,0.340909
CANON CITY HIGH SCHOOL,1266,0.337079
CEDAREDGE HIGH SCHOOL,1372,0.366667
CENTAURI HIGH SCHOOL,1378,
CENTAURUS HIGH SCHOOL,1380,0.252336
CENTENNIAL HIGH SCHOOL,1402,0.422018
WELD CENTRAL SENIOR HIGH SCHOO,1446,0.487805
CENTRAL HIGH SCHOOL,1450,0.416667
CENTRAL HIGH SCHOOL,1454,0.648352
AURORA CENTRAL HIGH SCHOOL,1458,0.753623
CHAPARRAL HIGH SCHOOL,1503,0.221818
CHATFIELD HIGH SCHOOL,1522,0.240678
CHERRY CREEK HIGH SCHOOL,1570,0.128395
CHEYENNE MOUNTAIN HIGH SCHOOL,1590,0.145078
THE CLASSICAL ACADEMY CHARTER,1627,0.071429
COLUMBINE HIGH SCHOOL,1864,0.274131
CORONADO HIGH SCHOOL,1870,0.227848
CONIFER SENIOR HIGH SCHOOL,1886,0.146552
DAKOTA RIDGE SENIOR HIGH SCHOO,2093,0.206573
D'EVELYN SENIOR HIGH SCHOOL,2120,0.0
DEL NORTE HIGH SCHOOL,2150,
DELTA HIGH SCHOOL,2164,0.404255
DENVER SCHOOL OF THE ARTS,2184,0.190476
DOHERTY HIGH SCHOOL,2202,0.271111
DOUGLAS COUNTY HIGH SCHOOL,2230,0.191667
DURANGO HIGH SCHOOL,2318,0.283688
EAGLE VALLEY HIGH SCHOOL,2350,0.409836
EAGLECREST HIGH SCHOOL,2357,0.34717
EAST HIGH SCHOOL,2394,0.58
EAST HIGH SCHOOL,2398,0.385366
EATON HIGH SCHOOL,2456,0.307692
ELIZABETH HIGH SCHOOL,2608,0.371429
ENGLEWOOD HIGH SCHOOL,2746,0.42029
ERIE MIDDLE/SENIOR HIGH SCHOOL,2761,0.426829
ESTES PARK HIGH SCHOOL,2794,0.153846
EVERGREEN HIGH SCHOOL,2836,0.145695
UNIVERSITY SCHOOLS,2850,0.438597
FAIRVIEW HIGH SCHOOL,2892,0.110132
FALCON HIGH SCHOOL,2908,0.29661
FLORENCE HIGH SCHOOL,3002,0.545455
FORT COLLINS HIGH SCHOOL,3046,0.254237
FORT LUPTON HIGH SCHOOL,3070,0.59375
FORT MORGAN HIGH SCHOOL,3078,0.395349
FOUNTAIN-FORT CARSON HIGH SCHO,3110,0.375839
FREDERICK SENIOR HIGH SCHOOL,3196,0.419355
GATEWAY HIGH SCHOOL,3354,0.615385
GEORGE WASHINGTON HIGH SCHOOL,3378,0.6
GLENWOOD SPRINGS HIGH SCHOOL,3468,0.298507
GOLDEN HIGH SCHOOL,3502,0.253333
GRAND JUNCTION HIGH SCHOOL,3570,0.319018
GRANDVIEW HIGH SCHOOL,3589,0.25
GREELEY CENTRAL HIGH SCHOOL,3610,0.45679
GREELEY WEST HIGH SCHOOL,3614,0.409449
GREEN MOUNTAIN HIGH SCHOOL,3628,0.20202
GUNNISON HIGH SCHOOL,3694,0.26087
HARRISON HIGH SCHOOL,3806,0.555556
HERITAGE HIGH SCHOOL,3930,0.190789
HIGHLANDS RANCH HIGH SCHOOL,3980,0.181034
HINKLEY HIGH SCHOOL,4024,0.522936
HORIZON HIGH SCHOOL,4108,0.386667
HOTCHKISS HIGH SCHOOL,4128,0.344828
CLEAR CREEK HIGH SCHOOL,4216,0.30303
IVER C. RANUM HIGH SCHOOL,4326,0.45679
JAMES IRWIN CHARTER HIGH SCHOO,4378,
JEFFERSON CHARTER ACADEMY SENI,4410,0.310345
JEFFERSON HIGH SCHOOL,4425,0.621622
JOHN F KENNEDY HIGH SCHOOL,4444,0.627119
PLATTE VALLEY HIGH SCHOOL,4670,0.521739
LA JUNTA HIGH SCHOOL,4844,0.25
LAKEWOOD HIGH SCHOOL,4942,0.194313
LAMAR HIGH SCHOOL,4960,0.34375
LEGACY HIGH SCHOOL,5043,0.23506
LEWIS-PALMER HIGH SCHOOL,5100,0.109756
LIBERTY HIGH SCHOOL,5126,0.253012
LIMON JUNIOR-SENIOR HIGH SCHOO,5136,
LITTLETON HIGH SCHOOL,5224,0.289017
LONGMONT HIGH SCHOOL,5282,0.30625
LOVELAND HIGH SCHOOL,5316,0.3
LYONS MIDDLE/SENIOR HIGH SCHOO,5368,
MANITOU SPRINGS HIGH SCHOOL,5468,0.152542
THORNTON HIGH SCHOOL,5816,0.433566
MESA RIDGE HIGH SCHOOL,5841,0.417476
MIDDLE PARK HIGH SCHOOL,5864,0.2
MITCHELL HIGH SCHOOL,5948,0.423077
MOFFAT COUNTY HIGH SCHOOL,5962,0.372549
MONTBELLO HIGH SCHOOL,5995,0.717647
MONARCH HIGH SCHOOL,5999,0.13253
MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0.509804
MONTE VISTA SENIOR HIGH SCHOOL,6046,
MONTROSE HIGH SCHOOL,6058,0.322314
FRUITA MONUMENT HIGH SCHOOL,6070,0.316832
MOUNTAIN VIEW HIGH SCHOOL,6163,0.40367
MOUNTAIN VISTA HIGH SCHOOL,6165,0.253425
NEDERLAND MIDDLE-SENIOR HIGH S,6212,
NIWOT HIGH SCHOOL,6276,0.176829
NORTH HIGH SCHOOL,6314,0.721311
NORTHRIDGE HIGH SCHOOL,6364,0.464646
NORTHGLENN HIGH SCHOOL,6402,0.390625
OLATHE HIGH SCHOOL,6494,0.307692
OVERLAND HIGH SCHOOL,6625,0.470899
PAGOSA SPRINGS HIGH SCHOOL,6658,0.473684
PALISADE HIGH SCHOOL,6666,0.352941
PALMER HIGH SCHOOL,6680,0.22549
PAONIA HIGH SCHOOL,6708,
PEAK TO PEAK CHARTER SCHOOL,6816,0.114286
PEYTON HIGH SCHOOL,6902,0.470588
PINNACLE CHARTER SCHOOL,6914,0.105263
PINE CREEK HIGH SCHOOL,6937,0.187166
PLATTE CANYON HIGH SCHOOL,7046,0.25
POMONA HIGH SCHOOL,7114,0.289855
PONDEROSA HIGH SCHOOL,7118,0.196154
POUDRE HIGH SCHOOL,7124,0.244541
PUEBLO COUNTY HIGH SCHOOL,7208,0.481482
PUEBLO WEST HIGH SCHOOL,7214,0.391304
RALSTON VALLEY SENIOR HIGH SCH,7239,0.203319
RAMPART HIGH SCHOOL,7240,0.149038
RANGEVIEW HIGH SCHOOL,7250,0.447059
RANGELY HIGH SCHOOL,7276,
RIFLE HIGH SCHOOL,7360,0.52381
ROARING FORK HIGH SCHOOL,7422,0.166667
ROCKY FORD HIGH SCHOOL,7442,
ROCKY MOUNTAIN HIGH SCHOOL,7470,0.25
ROOSEVELT HIGH SCHOOL,7490,0.428571
RYE HIGH SCHOOL,7534,
SALIDA HIGH SCHOOL,7568,0.225806
SAND CREEK HIGH SCHOOL,7613,0.333333
SANFORD JUNIOR/SENIOR HIGH SCH,7616,
SILVER CREEK SCHOOL,7789,0.277228
SHERIDAN HIGH SCHOOL,7842,
SIERRA HIGH SCHOOL,7882,0.580247
SKYLINE HIGH SCHOOL,7954,0.40708
SMOKY HILL HIGH SCHOOL,8020,0.284553
SOUTH HIGH SCHOOL,8082,0.448052
SOUTH HIGH SCHOOL,8086,0.6875
STANDLEY LAKE HIGH SCHOOL,8209,0.315556
STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.262295
STERLING HIGH SCHOOL,8260,0.193548
STRASBURG HIGH SCHOOL,8334,0.433333
SUMMIT HIGH SCHOOL,8378,0.204819
SWINK JUNIOR-SENIOR HIGH SCHOO,8456,
THOMAS JEFFERSON HIGH SCHOOL,8822,0.572581
THOMPSON VALLEY HIGH SCHOOL,8824,0.313725
THUNDERRIDGE HIGH SCHOOL,8847,0.200935
TRINIDAD HIGH SCHOOL,8906,
VALLEY HIGH SCHOOL,9032,0.6
JOHN MALL HIGH SCHOOL,9212,
WASSON HIGH SCHOOL,9298,0.426966
WEST HIGH SCHOOL,9408,0.906977
WESTMINSTER HIGH SCHOOL,9466,0.514286
WHEAT RIDGE HIGH SCHOOL,9510,0.258993
WIDEFIELD HIGH SCHOOL,9566,0.37931
WIGGINS JUNIOR-SENIOR HIGH SCH,9582,
WINDSOR HIGH SCHOOL,9672,0.333333
WOODLAND PARK HIGH SCHOOL,9696,0.235294
YUMA HIGH SCHOOL,9799,
